City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,hokitika,-42.7167,170.9667,56.55,62,95,5.14,NZ,1681507277
282,totness,5.8833,-56.3167,81.57,77,64,11.52,SR,1681507278
283,coihaique,-45.5752,-72.0662,57.81,59,0,3.36,CL,1681507047
284,severo-kurilsk,50.6789,156.125,34.05,99,100,9.44,RU,1681507279
285,aranos,-24.1333,19.1167,64.47,35,8,12.44,NA,1681507279
286,shenkursk,62.1091,42.896,14.04,96,5,1.79,RU,1681507279
287,kavieng,-2.5744,150.7967,82.02,79,99,7.9,PG,1681507279
288,luwuk,-0.9516,122.7875,78.53,82,99,2.89,ID,1681507280
289,sheltozero,61.3667,35.3667,24.35,90,77,6.82,RU,1681507280
290,eyl,7.9803,49.8164,82.81,76,73,13.96,SO,1681507281
291,dongsheng,39.8161,109.9776,39.72,40,79,10.65,CN,1681507281
292,jiaohe,43.7286,127.3447,37.89,47,49,4.5,CN,1681507281
293,kaitangata,-46.2817,169.8464,48.85,86,8,5.77,NZ,1681507281
294,aliwal north,-30.6937,26.7114,45.43,54,0,7.78,ZA,1681507282
295,hatillo,18.4863,-66.8254,85.08,76,13,10.0,PR,1681507282
296,vagur,61.4732,-6.8119,44.19,83,100,16.2,FO,1681507282
297,severobaykalsk,55.65,109.3167,12.33,80,23,5.91,RU,1681507282
298,xai-xai,-25.0519,33.6442,73.83,82,52,22.17,MZ,1681507283
299,palmer,42.1584,-72.3287,92.8,22,75,3.44,US,1681507283
300,sawakin,19.1059,37.3321,75.58,66,0,7.4,SD,1681507283
301,colonia,50.9333,6.95,52.86,59,0,5.75,DE,1681507283
302,havre-saint-pierre,50.2334,-63.5986,44.96,39,0,12.66,CA,1681507284
303,caravelas,-17.7125,-39.2481,78.71,80,44,9.55,BR,1681507156
304,merauke,-8.4667,140.3333,75.45,92,88,4.94,ID,1681507284
305,muzhi,65.3667,64.6667,21.43,76,100,20.4,RU,1681507284
306,cortez,37.3489,-108.5859,50.76,54,0,23.02,US,1681507284
307,bourail,-21.5667,165.4833,74.95,86,100,1.83,NC,1681507284
308,san pedro,14.35,121.0167,77.36,96,75,2.3,PH,1681507284
309,alice springs,-23.7,133.8833,69.35,94,75,23.02,AU,1681507185
310,miles city,46.4083,-105.8406,43.77,49,100,13.8,US,1681507285
311,sur,22.5667,59.5289,88.36,43,69,4.92,OM,1681507285
312,pavlohrad,48.5167,35.8667,41.67,90,100,10.38,UA,1681507285
313,malibu,34.005,-118.8101,68.09,84,48,1.99,US,1681507286
314,abu kamal,34.4506,40.9171,64.36,39,0,8.03,SY,1681507286
315,najran,17.4924,44.1277,79.45,47,83,3.56,SA,1681507287
316,pringsewu,-5.3582,104.9744,73.35,97,100,2.91,ID,1681507287
317,juybar,36.6412,52.9124,58.68,68,1,5.73,IR,1681507287
318,coahuayana,18.7333,-103.6833,90.43,29,0,7.94,MX,1681507287
319,mayor pablo lagerenza,-19.9309,-60.7718,61.93,93,100,6.35,PY,1681507288
320,farafangana,-22.8167,47.8333,74.93,85,2,5.12,MG,1681507288
321,lazarev,52.225,141.5131,23.9,90,100,7.81,RU,1681507288
322,indramayu,-6.3264,108.32,78.98,82,98,2.55,ID,1681507289
323,kruisfontein,-34.0033,24.7314,57.88,71,7,10.49,ZA,1681507289
324,maragogi,-9.0122,-35.2225,78.48,73,100,8.14,BR,1681507290
325,nurota,40.5614,65.6886,59.27,75,60,7.54,UZ,1681507290
326,price,39.5994,-110.8107,51.06,22,20,10.36,US,1681507291
327,neryungri,56.6709,124.6491,2.71,99,73,2.15,RU,1681507291
328,rocha,-34.4833,-54.3333,55.15,63,10,7.9,UY,1681507052
329,ugoofaaru,5.6667,73.0,82.87,74,100,1.57,MV,1681507279
330,babu,24.4167,111.5167,67.32,93,54,4.21,CN,1681507292
331,aguimes,27.9054,-15.4461,63.66,72,40,18.41,ES,1681507292
332,port macquarie,-31.4333,152.9167,54.9,83,4,5.32,AU,1681507292
333,marzuq,14.4,46.4667,73.87,66,0,6.13,YE,1681507293
334,ranong,9.9658,98.6348,78.67,86,29,3.42,TH,1681507293
335,rosarito,32.3333,-117.0333,65.25,67,47,10.47,MX,1681507294
336,belaya gora,68.5333,146.4167,6.24,97,99,4.25,RU,1681507294
337,namie,37.4833,141.0,57.72,78,100,3.91,JP,1681507294
338,virginia beach,36.8529,-75.978,77.05,97,100,9.78,US,1681507068
339,hami,42.8,93.45,57.36,21,100,5.08,CN,1681507294
340,chuy,-33.6971,-53.4616,57.6,63,5,9.33,UY,1681507294
341,tessalit,20.1986,1.0114,85.53,9,20,8.41,ML,1681507294
342,puerto plata,19.7934,-70.6884,91.31,69,20,18.41,DO,1681507065
343,milkovo,54.7167,158.6167,27.66,93,100,2.77,RU,1681507295
344,flinders,-34.5833,150.8552,56.05,92,32,3.0,AU,1681507295
345,mundo novo,-11.8589,-40.4725,74.35,68,99,1.72,BR,1681507295
346,nioro,13.35,-15.75,91.31,25,20,5.41,GM,1681507295
347,atar,20.5169,-13.0499,92.05,25,2,3.67,MR,1681507295
348,acarau,-2.8856,-40.12,79.52,85,95,10.47,BR,1681507296
349,vardo,70.3705,31.1107,30.18,59,0,20.71,NO,1681507296
350,goure,13.9835,10.2704,82.18,11,48,8.68,NE,1681507296
351,graaff-reinet,-32.2522,24.5308,50.92,55,0,3.71,ZA,1681507296
352,san cristobal,7.7669,-72.225,75.38,46,97,1.36,VE,1681507084
353,obidos,-1.9175,-55.5181,80.76,86,85,2.89,BR,1681507296
354,narsaq,60.9167,-46.05,44.82,56,100,15.37,GL,1681507297
355,bonavista,48.6499,-53.1147,32.43,89,88,22.97,CA,1681507297
356,mandera,3.9366,41.867,88.61,39,87,10.42,KE,1681507297
357,huilong,31.8111,121.655,56.93,94,100,10.11,CN,1681507297
358,mahina,-17.5065,-149.489,85.77,62,75,10.36,PF,1681507082
359,kalmunai,7.4167,81.8167,78.03,89,65,6.58,LK,1681507297
360,kiruna,67.8557,20.2251,25.72,50,14,5.75,SE,1681507297
361,pundaguitan,6.3711,126.1689,81.0,79,25,2.66,PH,1681507298
362,port hedland,-20.3167,118.5667,73.45,53,57,14.97,AU,1681507161
